x,y
-943,2526.8
-937,2511.2
-932,2498.2
-929,2490.4
-909,2438.4
-900,2415.0
-892,2394.2
-885,2376.0
-880,2363.0
-877,2355.2
-874,2347.4
-871,2339.6
-864,2321.4
-861,2313.6
-849,2282.4
-843,2266.8
-833,2240.8
-823,2214.8
-814,2191.4
-808,2175.8
-796,2144.6
-774,2087.4
-749,2022.4
-733,1980.8
-719,1944.4
-704,1905.4
-686,1858.6
-657,1783.2
-656,1780.6
-646,1754.6
-622,1692.2
-606,1650.6
-603,1642.8
-589,1606.4
-565,1544.0
-560,1531.0
-555,1518.0
-554,1515.4
-543,1486.8
-540,1479.0
-536,1468.6
-525,1440.0
-520,1427.0
-506,1390.6
-505,1388.0
-496,1364.6
-483,1330.8
-472,1302.2
-464,1281.4
-451,1247.6
-449,1242.4
-434,1203.4
-409,1138.4
-380,1063.0
-376,1052.6
-372,1042.2
-368,1031.8
-358,1005.8
-353,992.8
-352,990.2
-343,966.8
-342,964.2
-331,935.6
-326,922.6
-318,901.8
-310,881.0
-296,844.6
-289,826.4
-273,784.8
-272,782.2
-241,701.6
-215,634.0
-213,628.8
-184,553.4
-182,548.2
-179,540.4
-178,537.8
-175,530.0
-166,506.6
-153,472.8
-122,392.2
-115,374.0
-113,368.8
-112,366.2
-84,293.4
-78,277.8
-70,257.0
-62,236.2
-57,223.2
-43,186.8
-31,155.6
-2,80.2
-1,77.6
28,2.2
39,-26.4
51,-57.6
62,-86.2
71,-109.6
75,-120.0
85,-146.0
90,-159.0
91,-161.6
94,-169.4
104,-195.4
107,-203.2
111,-213.6
122,-242.2
127,-255.2
128,-257.8
149,-312.4
159,-338.4
166,-356.6
179,-390.4
184,-403.4
188,-413.8
201,-447.6
204,-455.4
219,-494.4
223,-504.8
248,-569.8
252,-580.2
258,-595.8
261,-603.6
278,-647.8
281,-655.6
289,-676.4
297,-697.2
300,-705.0
302,-710.2
303,-712.8
321,-759.6
324,-767.4
327,-775.2
344,-819.4
364,-871.4
371,-889.6
379,-910.4
382,-918.2
383,-920.8
389,-936.4
401,-967.6
425,-1030.0
440,-1069.0
477,-1165.2
478,-1167.8
490,-1199.0
494,-1209.4
496,-1214.6
503,-1232.8
526,-1292.6
537,-1321.2
551,-1357.6
560,-1381.0
561,-1383.6
564,-1391.4
571,-1409.6
578,-1427.8
582,-1438.2
585,-1446.0
598,-1479.8
614,-1521.4
624,-1547.4
638,-1583.8
647,-1607.2
651,-1617.6
655,-1628.0
669,-1664.4
682,-1698.2
696,-1734.6
700,-1745.0
703,-1752.8
718,-1791.8
724,-1807.4
736,-1838.6
739,-1846.4
746,-1864.6
750,-1875.0
751,-1877.6
757,-1893.2
773,-1934.8
779,-1950.4
788,-1973.8
799,-2002.4
830,-2083.0
832,-2088.2
839,-2106.4
848,-2129.8
882,-2218.2
889,-2236.4
903,-2272.8
904,-2275.4
909,-2288.4
913,-2298.8
933,-2350.8
936,-2358.6
945,-2382.0
948,-2389.8
959,-2418.4
966,-2436.6
979,-2470.4
